% Model:              lens_cube.mph
% Version:            COMSOL 5.5.0.292
% Date:               Nov 26 2021, 17:37
% Dimension:          3
% Nodes:              2001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
3.0E-5                    -2.5E-5                  -7.1E-4                  -85.03985929414046
3.0E-5                    -2.5E-5                  -7.09E-4                 -85.11374908473391
3.0E-5                    -2.5E-5                  -7.080000000000001E-4    -85.29943540844431
3.0E-5                    -2.5E-5                  -7.070000000000001E-4    -85.37495861500531
3.0E-5                    -2.5E-5                  -7.06E-4                 -85.45048182156677
3.0E-5                    -2.5E-5                  -7.050000000000001E-4    -85.5260050281276
3.0E-5                    -2.5E-5                  -7.04E-4                 -85.60152823468906
3.0E-5                    -2.5E-5                  -7.030000000000001E-4    -85.67705144125034
3.0E-5                    -2.5E-5                  -7.02E-4                 -85.75257464781146
3.0E-5                    -2.5E-5                  -7.01E-4                 -85.82809785437348
3.0E-5                    -2.5E-5                  -7.000000000000001E-4    -85.9036210609338
3.0E-5                    -2.5E-5                  -6.99E-4                 -85.97914426749549
3.0E-5                    -2.5E-5                  -6.98E-4                 -86.05466747405666
3.0E-5                    -2.5E-5                  -6.97E-4                 -86.13019068061755
3.0E-5                    -2.5E-5                  -6.96E-4                 -86.205713887179
3.0E-5                    -2.5E-5                  -6.950000000000001E-4    -86.28123709373995
3.0E-5                    -2.5E-5                  -6.94E-4                 -86.35676030030146
3.0E-5                    -2.5E-5                  -6.93E-4                 -86.43228350686257
3.0E-5                    -2.5E-5                  -6.92E-4                 -86.50780671342375
3.0E-5                    -2.5E-5                  -6.91E-4                 -86.58332991998509
3.0E-5                    -2.5E-5                  -6.900000000000001E-4    -86.65885312654638
3.0E-5                    -2.5E-5                  -6.89E-4                 -86.7343763331072
3.0E-5                    -2.5E-5                  -6.88E-4                 -86.80989953966855
3.0E-5                    -2.5E-5                  -6.870000000000001E-4    -86.88542274622966
3.0E-5                    -2.5E-5                  -6.86E-4                 -86.96094595279123
3.0E-5                    -2.5E-5                  -6.850000000000001E-4    -87.03646915935258
3.0E-5                    -2.5E-5                  -6.84E-4                 -87.1119923659137
3.0E-5                    -2.5E-5                  -6.83E-4                 -87.11913607434522
3.0E-5                    -2.5E-5                  -6.820000000000001E-4    -87.20252167626336
3.0E-5                    -2.5E-5                  -6.81E-4                 -87.28590727818192
3.0E-5                    -2.5E-5                  -6.8E-4                  -87.36929288009976
3.0E-5                    -2.5E-5                  -6.79E-4                 -87.45267848201826
3.0E-5                    -2.5E-5                  -6.78E-4                 -87.5360640839366
3.0E-5                    -2.5E-5                  -6.770000000000001E-4    -87.61944968585475
3.0E-5                    -2.5E-5                  -6.760000000000001E-4    -87.70283528777286
3.0E-5                    -2.5E-5                  -6.75E-4                 -87.7862208896905
3.0E-5                    -2.5E-5                  -6.74E-4                 -87.86960649160896
3.0E-5                    -2.5E-5                  -6.73E-4                 -87.95299209352679
3.0E-5                    -2.5E-5                  -6.720000000000001E-4    -88.03637769544564
3.0E-5                    -2.5E-5                  -6.71E-4                 -88.11976329736356
3.0E-5                    -2.5E-5                  -6.7E-4                  -88.20314889928183
3.0E-5                    -2.5E-5                  -6.690000000000001E-4    -88.28653450120008
3.0E-5                    -2.5E-5                  -6.68E-4                 -88.36992010311783
3.0E-5                    -2.5E-5                  -6.670000000000001E-4    -88.45330570503627
3.0E-5                    -2.5E-5                  -6.66E-4                 -88.53669130695451
3.0E-5                    -2.5E-5                  -6.65E-4                 -88.6200769088731
